FRAMEWORK,JURISDICTION,STATUS,KEY REQUIREMENT,REGULATOR,VASP SCOPE,TRAVEL RULE,COMPLIANCE IMPLICATION
MiCA (Markets in Crypto-Assets),EU (27 states),LIVE – Full effect Jan 2025,CASP license; passporting; MiCA-compliant stablecoins only; €0 Travel Rule threshold,ESMA + national NCAs,"All crypto asset services: exchange, custody, advice, transfer",€0 threshold – all transfers,€540M+ fines since enforcement; USDT delisted; July 2026 deadline for remaining issuers
GENIUS Act,United States,"SIGNED Jul 18, 2025",100% reserve stablecoin backing; FinCEN/OFAC BSA obligations; monthly disclosures,FinCEN / Fed / OCC,Stablecoin issuers; federal + state pathways,"US$3,000 threshold",Jan 2027 full enforcement; compliance officer required; block/freeze/reject capability
CLARITY Act,United States,PASSED House 2025,Defines SEC vs CFTC jurisdictional boundaries for digital commodities,SEC + CFTC,Digital commodities (CFTC) vs securities (SEC),,Resolves long-standing jurisdictional uncertainty for crypto firms
Payment Services Act (PSA),Singapore,LIVE + expanded 2025,MPI license; KYC/AML; ongoing monitoring; no credit to retail DPT users,MAS,All DPT service providers,"SGD 1,500 threshold",Gold standard; FATF Mutual Evaluation 2025; tough but highly credible
VASP Ordinance + Stablecoin Ordinance,Hong Kong,VASP: 2023 | Stablecoin: Aug 2025,"SFC VASP license; 100% HQLA stablecoin backing; first licenses (HSBC, Anchorpoint) Apr 2026",SFC / HKMA,All VA trading platforms + stablecoin issuers,Yes,Asia's leading stablecoin hub; A-S-P-I-Re framework for digital asset hub vision
Payment Services Act + FIEA Amendments,Japan,Ongoing reform 2025,Exchange registration; stablecoins via trust companies; crypto reclassification as financial product (2025),FSA,"Crypto exchanges, stablecoin issuers, derivatives",Yes,Most mature APAC framework; insider trading rules incoming; institutional signal
VARA Framework,UAE (Dubai),LIVE,Full VASP license; product-specific approval; AML/KYC; unified national framework 2024,VARA + ADGM (Abu Dhabi),"All virtual asset services; spot, derivatives, advisory",Yes,"World's most attractive hub; 0% tax; Binance, OKX, Bybit, Kraken licensed"
DLT Act + New VASP rules,Switzerland,DLT: 2020 | New licenses: 2026 proposal,DLT securities; new payment institution + crypto institution licenses proposed 2026; CARF Jan 2026,FINMA,"Banks, fintech, DLT businesses, VASPs",CARF aligned,Crypto Valley; world-class AML; new dedicated license types under consultation
Virtual Asset User Protection Act,South Korea,LIVE Aug 2023,Mandatory reserve; insurance; KYC; first prosecutions for unfair trading 2025,FSC / FSS,All VA service providers,Yes,First enforcement actions 2025; competing stablecoin bills; massive retail market
ISA (Investments & Securities Act) 2025,Nigeria,SIGNED Mar 2025,Crypto classified as securities; under SEC Nigeria authority; KYC/AML,SEC Nigeria,All crypto exchanges and VA service providers,Partial rollout,Significant shift; previously unclear; builds on 2023 CBN policy reversal
FATF Recommendations 15 & 16,Global (190+ countries),Ongoing – 2025 Recommendation 16 update,VASP licensing/registration; CDD; Travel Rule; Suspicious Transaction Reporting,FATF member jurisdictions,All VASPs globally,"USD 1,000 threshold (recommended)",90+ of 117 jurisdictions implementing Travel Rule; updated R16 tightens cross-border transparency
BCB VASP Framework (Law 14.478),Brazil,LIVE Feb 2025 (270-day grace),BCB authorization; foreign exchange oversight; reporting >$100K; stablecoin reporting,BCB + CVM,All crypto exchanges and VASPs,Partial,Largest LatAm market; DREX CBDC; grace period to Oct 2026
FSCA CASP Framework,South Africa,LIVE since 2022,FSP license under FSCA; AML/CFT; compliance reporting,FSCA + FIC,All crypto asset service providers,Yes,Removed from FATF greylist 2025; robust framework; growing market
Virtual Assets Law,Ukraine,2022,NSSMC oversight; VASP registration; AML obligations,NSSMC,Virtual asset service providers,Partial,#1 population-adjusted adoption; wartime use; $206B in flows; major compliance opportunity
CNV GR 994 / GR 1058,Argentina,GR 1058: May 2025,VASP registration; AML/CFT; cyber security; asset segregation; governance rules,CNV,PSAVs (virtual asset service providers),Partial,Raised compliance bar significantly; tokenized asset sandbox pilot
Fintech Law 2.0 + AML Reform,Mexico,AML Reform: Jul 2025,VASP scope expanded; compliance officer; risk-based AML; $200K min capital,CNBV / Banxico,All VASPs and non-financial entities handling crypto,Partial,FATF presidency 2025; tightening AML; $200K threshold for custodians
DASP Law + Bitcoin Law,El Salvador,DASP: 2023 | BTC mandate revoked Feb 2025,DASP/BSP licenses; institutional banks can offer crypto (Aug 2025); $250K AUM threshold,CNAD + BCR,Digital Asset Service Providers + Bitcoin Service Providers,Yes,Tether HQ relocated here; institutional gateway to Latin America
Digital Asset Business Act,Bermuda,LIVE since 2018,Class F / DAB license; AML/KYC; consumer protection; 0% tax,BMA,"Digital asset businesses (exchange, custody, etc.)",Partial,Pioneer regulation; Circle USDC licensed; strong institutional credibility
